test_source,mean_mAP50_95,std_mAP50_95,min_mAP50_95,max_mAP50_95
Merged,0.6030169974844029,0.034708592542665964,0.5760897755750776,0.6595393808522694
DeepPCB,0.7753744990079511,0.03456888871594876,0.7516681217596763,0.8345332551021322
DsPCBSD,0.5036491814357346,0.025755973818986626,0.4720628537118638,0.5398716398959944
HRIPCB,0.4145732933775202,0.08342935282435832,0.3060150214533408,0.5197743240553158
