class_id,class_name,mAP50-95
0,missing_hole,0.8524960675079507
1,mouse_bite,0.5761264855327299
2,open_circuit,0.6306669255826794
3,short,0.6072437669019706
4,spur,0.49192208212053246
5,spurious_copper,0.7116850586409531
