experiment,model_name,test_source,class_id,class_name,mAP50_95,source_file,model_display_name
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DeepPCB,4,spur,0.7891266121634977,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DeepPCB,5,spurious_copper,0.9672602689183776,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,0,missing_hole,0.8259757358028358,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,1,mouse_bite,0.4123112941459699,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,2,open_circuit,0.5642727441299975,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,3,short,0.565744407034064,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,4,spur,0.3582742522307435,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,5,spurious_copper,0.5126514060323563,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,0,missing_hole,0.6085341364575437,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,1,mouse_bite,0.502710922618113,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,2,open_circuit,0.5164360657630802,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,3,short,0.4765644649904724,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,4,spur,0.4630091768848398,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
