model_display_name,Merged,DeepPCB,DsPCBSD,HRIPCB,mean_source_mAP50_95,std_source_mAP50_95,min_source_mAP50_95
YOLOv11s,0.5760897755750776,0.7538068041542451,0.4874363499564351,0.3060150214533408,0.515752725188007,0.22523483965253874,0.3060150214533408
RT-DETR-L,0.6595393808522694,0.8345332551021322,0.5398716398959944,0.5197743240553158,0.6313930730178141,0.17621130982129785,0.5197743240553158
Faster R-CNN,0.5918202996253967,0.7772843837738037,0.5120692849159241,0.3918990790843963,0.5604175825913748,0.19718931686002245,0.3918990790843963
YOLOv11s-CBAMLite-BiFPNLite-P2,0.5764356957636575,0.7516681217596763,0.4720628537118638,0.3821097178359473,0.5352802311024959,0.19271917673333835,0.3821097178359473
PCBNet-RTDETR-HybridOpt,0.6111998356056133,0.7595799302498981,0.5068057786984558,0.4730683244586008,0.5798180111356516,0.15658963767559547,0.4730683244586008
