experiment,model_name,test_source,weights,precision,recall,f1,mAP50,mAP50_95,inference_ms_per_image,FPS
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.8427888158362284,0.81456008543536,0.8284340482620294,0.8817687808984379,0.5764356957636575,16.376420488079066,61.0634052006623
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.9587660813682266,0.9214925058072226,0.939759844554337,0.9770372413931958,0.7516681217596763,15.65736303667412,63.86771499502871
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.775416475798481,0.7473334228769394,0.7611159909026841,0.806729932247015,0.4720628537118638,15.82714375483559,63.18259412374863
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.8377164177864177,0.7178216196165526,0.7731485072506074,0.789897261496835,0.3821097178359473,16.501334633130355,60.601158768834495
