test_source,model_display_name,mAP50_95,mAP50,precision,recall
Merged,RT-DETR-L,0.6595393808522694,0.9315007338439738,0.9214669721663292,0.8969600866247197
DeepPCB,RT-DETR-L,0.8345332551021322,0.9862432756846014,0.98754933827817,0.9704848230063424
DsPCBSD,RT-DETR-L,0.5398716398959944,0.8698578032757478,0.8593753303311046,0.8404095013224723
HRIPCB,RT-DETR-L,0.5197743240553158,0.9613453730615252,0.9742011449046972,0.9506984451298472
