class_name,Merged,DeepPCB,DsPCBSD,HRIPCB
missing_hole,0.8194617629051208,0.9252676367759705,0.824138343334198,0.528465986251831
mouse_bite,0.5187957286834717,0.751804769039154,0.38287729024887085,0.36542633175849915
open_circuit,0.5795313715934753,0.6881680488586426,0.5121946930885315,0.38886764645576477
short,0.5259318947792053,0.6298626661300659,0.4948812425136566,0.32746049761772156
spur,0.4375084936618805,0.7423031330108643,0.3467661440372467,0.3455233573913574
spurious_copper,0.6696926951408386,0.9263002276420593,0.5115580558776855,0.39565056562423706
